epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,273.638,0.95168,3.38567,0.0228,0.77573,0.64979,0.71956,0.51632,1.02121,1.4278,0.03192,0.00999201,0.00333067,0.00999201,0.00333067,0.00999201,0.00333067,0.00999201,0.00333067
2,557.744,0.96764,1.24623,0.02244,0.74768,0.69555,0.71382,0.52438,0.96009,1.7658,0.03001,0.0197941,0.00659803,0.0197941,0.00659803,0.0197941,0.00659803,0.0197941,0.00659803
3,829.719,1.0598,1.22575,0.02473,0.65718,0.65271,0.63967,0.40916,1.18803,2.12879,0.03888,0.0293982,0.00979939,0.0293982,0.00979939,0.0293982,0.00979939,0.0293982,0.00979939
4,1082.66,1.07375,1.22633,0.02465,0.71421,0.66754,0.68156,0.53345,0.9418,1.73027,0.02712,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1286.05,0.99832,1.1143,0.02237,0.75002,0.72353,0.74927,0.5385,1.04805,1.83431,0.03181,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1493.17,0.95718,1.05479,0.02112,0.76506,0.77053,0.77539,0.58588,0.88816,1.49209,0.02566,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1686.39,0.91498,1.01022,0.01983,0.85265,0.78694,0.84168,0.64243,0.89966,1.19331,0.0259,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1880.04,0.89652,0.9741,0.01943,0.83936,0.7818,0.84116,0.66934,0.80579,1.43785,0.022,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2073.05,0.87024,0.9515,0.01864,0.85211,0.80656,0.84711,0.65437,0.80005,1.19763,0.02218,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2266.09,0.84213,0.91905,0.018,0.86694,0.78806,0.85082,0.66315,0.85911,1.34856,0.02487,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3176.72,0.83254,0.90036,0.01742,0.88608,0.815,0.86676,0.71812,0.74056,1.09189,0.01987,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3372.1,0.80744,0.8828,0.01688,0.877,0.81229,0.86384,0.67244,0.8518,1.24472,0.02557,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3572.82,0.79752,0.85955,0.01662,0.86747,0.82214,0.87529,0.69377,0.78041,1.12996,0.02135,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3773.68,0.79202,0.83533,0.01647,0.86625,0.83155,0.87551,0.70016,0.80428,1.1603,0.02298,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3975.75,0.77812,0.82353,0.0161,0.88659,0.8335,0.89047,0.70261,0.83727,1.13518,0.02385,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4178.29,0.76763,0.81828,0.01585,0.86224,0.83901,0.89071,0.72248,0.76662,0.99329,0.02038,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4414.15,0.75807,0.8159,0.01559,0.90597,0.8309,0.90538,0.72897,0.76372,0.87166,0.02135,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4626.17,0.75227,0.79911,0.01542,0.90871,0.84966,0.91024,0.75333,0.70435,0.887,0.01877,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4834.78,0.74716,0.78315,0.01537,0.90705,0.82671,0.89898,0.73448,0.72672,0.93689,0.01987,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5042.86,0.74013,0.77977,0.01517,0.90662,0.85403,0.90763,0.76675,0.69703,0.80426,0.01855,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5251.53,0.72535,0.75226,0.01482,0.91909,0.85904,0.91793,0.77352,0.70648,0.74401,0.01857,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5462.12,0.72881,0.76228,0.01493,0.93603,0.8406,0.91905,0.76958,0.71544,0.75361,0.01907,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5677.06,0.7256,0.7567,0.01468,0.92398,0.84713,0.91847,0.77515,0.70995,0.7847,0.01882,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5888.66,0.71872,0.73535,0.01447,0.90326,0.86173,0.91709,0.77925,0.65985,0.75809,0.01705,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6101.04,0.70897,0.72541,0.01446,0.92699,0.86336,0.92578,0.7939,0.65139,0.70657,0.01694,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6312.88,0.71083,0.71955,0.0144,0.93505,0.86855,0.92841,0.80402,0.61567,0.70689,0.01526,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6526.67,0.69855,0.7171,0.01421,0.94049,0.85658,0.92675,0.79942,0.63632,0.65506,0.01659,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6734.58,0.69321,0.70928,0.01403,0.91291,0.86076,0.91889,0.79211,0.6296,0.72034,0.01616,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6942.33,0.6945,0.69781,0.01415,0.94403,0.86497,0.92872,0.76684,0.69794,0.67281,0.01993,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7703.45,0.69558,0.70332,0.01398,0.93828,0.85856,0.92777,0.77129,0.68751,0.64339,0.01877,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7906.96,0.67926,0.68247,0.01372,0.94796,0.86206,0.92831,0.79933,0.65381,0.65759,0.01718,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8109.62,0.68009,0.68416,0.01365,0.91679,0.86628,0.92592,0.79017,0.64401,0.66253,0.0167,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8313.75,0.67282,0.67645,0.01343,0.93781,0.87608,0.93379,0.80565,0.62682,0.64947,0.01594,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8517.19,0.67129,0.67287,0.01337,0.93647,0.87796,0.93533,0.80692,0.63064,0.67332,0.01643,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8721.46,0.66207,0.66078,0.01326,0.94767,0.87581,0.9353,0.81152,0.61965,0.62822,0.01586,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8924.78,0.67032,0.67239,0.01335,0.94564,0.87699,0.93626,0.81801,0.59156,0.60678,0.01491,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9129.17,0.66621,0.65278,0.01328,0.9118,0.86909,0.92153,0.80336,0.59779,0.64744,0.01504,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9333.85,0.66062,0.65163,0.01325,0.95437,0.8653,0.93599,0.8174,0.58173,0.60551,0.01425,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9539.59,0.66333,0.63851,0.01336,0.95154,0.87179,0.93671,0.81598,0.58003,0.59527,0.01414,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9743.35,0.64947,0.64646,0.01293,0.93784,0.89119,0.9373,0.81607,0.58146,0.58942,0.01413,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9948.25,0.64922,0.63891,0.01297,0.93537,0.88785,0.93678,0.81423,0.57754,0.58229,0.01429,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10159.4,0.64541,0.63595,0.01287,0.94432,0.88629,0.93875,0.82083,0.56855,0.57471,0.01397,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10369.3,0.64411,0.632,0.0126,0.94033,0.89127,0.93975,0.82323,0.56251,0.57643,0.01378,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10581.6,0.62989,0.61751,0.01238,0.93986,0.89273,0.94036,0.82541,0.55939,0.57115,0.01377,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10786.3,0.6245,0.62253,0.01235,0.94634,0.88718,0.94026,0.82611,0.55938,0.58188,0.01382,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10991.7,0.6257,0.61171,0.0123,0.94254,0.89441,0.94068,0.82673,0.56187,0.58856,0.01391,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11200.3,0.62988,0.61499,0.01244,0.94143,0.89679,0.94114,0.82688,0.56636,0.58097,0.01398,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11415.3,0.62683,0.60415,0.01241,0.93473,0.89646,0.93934,0.82612,0.56702,0.58721,0.01399,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11624,0.61918,0.60232,0.01222,0.93877,0.88088,0.93768,0.82295,0.5658,0.60271,0.01398,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11823.4,0.61664,0.61365,0.01212,0.94077,0.88157,0.9387,0.82401,0.55907,0.59443,0.0138,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12025.3,0.62106,0.61685,0.0123,0.94167,0.88705,0.93998,0.82769,0.55256,0.59403,0.01358,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,12497.6,0.6103,0.59827,0.01197,0.94078,0.89094,0.94091,0.83036,0.54907,0.59446,0.01347,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
